                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.84411,                 0.8309,                 1.2667,                0.29279,                0.43333,                0.25864,                0.17958,                 1.1146,                 2.2483,                 1.6303,               0.000161,               0.000161,               0.000161
                     91,                0.79964,                0.81839,                 1.2638,                0.29569,                0.44857,                0.27302,                0.18991,                 1.0998,                 2.1642,                 1.5883,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.7954,                0.78209,                 1.2158,                0.29734,                0.44043,                0.26638,                0.18565,                 1.0973,                 2.1627,                 1.5871,             0.00013625,             0.00013625,             0.00013625
                     93,                0.79156,                0.76031,                 1.2174,                0.29727,                0.39929,                0.25064,                0.17601,                  1.116,                 2.2097,                 1.6334,             0.00012387,             0.00012387,             0.00012387
                     94,                 0.7948,                0.76786,                 1.2661,                0.27946,                0.41186,                0.24599,                0.17248,                 1.1287,                 2.2447,                 1.6596,              0.0001115,              0.0001115,              0.0001115
                     95,                0.77052,                0.74069,                 1.2372,                0.27578,                0.42447,                0.24972,                0.17658,                 1.1139,                 2.2091,                  1.633,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.76731,                0.69187,                 1.2192,                0.30895,                0.37348,                0.25612,                0.17722,                 1.1085,                 2.2209,                  1.624,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                  0.773,                0.72768,                 1.2227,                0.27681,                 0.4447,                0.26099,                 0.1816,                 1.1126,                 2.2354,                 1.6264,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.78166,                0.72699,                 1.2334,                0.28533,                0.41791,                0.26126,                0.18331,                 1.1193,                 2.2449,                 1.6415,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.77516,                0.70978,                 1.2115,                0.27904,                0.40703,                0.25863,                0.18204,                 1.1252,                   2.24,                 1.6584,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.77538,                 0.7184,                 1.2177,                0.26995,                0.44506,                0.26071,                0.18268,                 1.1236,                 2.2092,                 1.6605,              3.725e-05,              3.725e-05,              3.725e-05
